"Kommunenummer campus";"Årstall";"Institusjonskode";"Antall";"Stednavn campus";"Studieprogramkode";"Semester"
"0101";"2017";"0256";"0";"Halden/Remmen";"BOKAD";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"DATY";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"EKSIT";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"FSKO";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"FSKO-D";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"HE1";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"HKH1";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"HN1";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"HN2";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"ITB";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"ITBINF";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"ITM";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"ITMACS-D";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"ITMAI";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"KHV";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"KRLE";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"MMI";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"MST";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"NORSK";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"PPH";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"S706K";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"S822K";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"S828O";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"S849O-KK";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"S859O";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"S863O-KK";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"S864O";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"S905A";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"S994A";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"UTVIT";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"UTVLU";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"BOKAD";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"FSKO";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"ITBINF";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"MBHGPED";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"MFRSPR";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"NATUR";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"NATUR1";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"S822K";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"S854O-KK";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"S858O-KK";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"S865O";"3"
"0101";"2017";"0256";"0";"Halden/Remmen";"UTVIT";"3"
"0101";"2017";"0256";"3";"Halden/Remmen";"BREV";"3"
"0101";"2017";"0256";"3";"Halden/Remmen";"FRANSKP";"3"
"0101";"2017";"0256";"3";"Halden/Remmen";"HNORSKP";"3"
"0101";"2017";"0256";"3";"Halden/Remmen";"HRLE1";"3"
"0101";"2017";"0256";"3";"Halden/Remmen";"ITMACS-D";"3"
"0101";"2017";"0256";"3";"Halden/Remmen";"MNORSK";"3"
"0101";"2017";"0256";"3";"Halden/Remmen";"PPD";"3"
"0101";"2017";"0256";"3";"Halden/Remmen";"RLE";"3"
"0101";"2017";"0256";"3";"Halden/Remmen";"S921A";"3"
"0101";"2017";"0256";"3";"Halden/Remmen";"S966A";"3"
"0101";"2017";"0256";"3";"Halden/Remmen";"TDAT";"3"
"0101";"2017";"0256";"4";"Halden/Remmen";"BREV";"3"
"0101";"2017";"0256";"4";"Halden/Remmen";"EKSIT";"3"
"0101";"2017";"0256";"4";"Halden/Remmen";"EKSSF";"3"
"0101";"2017";"0256";"4";"Halden/Remmen";"FSKO-D";"3"
"0101";"2017";"0256";"4";"Halden/Remmen";"HMA1";"3"
"0101";"2017";"0256";"4";"Halden/Remmen";"MEN";"3"
"0101";"2017";"0256";"4";"Halden/Remmen";"MMI";"3"
"0101";"2017";"0256";"4";"Halden/Remmen";"NATUR";"3"
"0101";"2017";"0256";"4";"Halden/Remmen";"S849O-KK";"3"
"0101";"2017";"0256";"4";"Halden/Remmen";"S855O-KK";"3"
"0101";"2017";"0256";"4";"Halden/Remmen";"SPANSKP";"3"
"0101";"2017";"0256";"4";"Halden/Remmen";"TYP";"3"
"0101";"2017";"0256";"5";"Halden/Remmen";"DAT";"3"
"0101";"2017";"0256";"5";"Halden/Remmen";"EKSSF";"3"
"0101";"2017";"0256";"5";"Halden/Remmen";"HN1";"3"
"0101";"2017";"0256";"5";"Halden/Remmen";"S858O-KK";"3"
"0101";"2017";"0256";"5";"Halden/Remmen";"S864O";"3"
"0101";"2017";"0256";"5";"Halden/Remmen";"S866O";"3"
"0101";"2017";"0256";"5";"Halden/Remmen";"S994A";"3"
"0101";"2017";"0256";"5";"Halden/Remmen";"UTVLU";"3"
"0101";"2017";"0256";"6";"Halden/Remmen";"HMA1";"3"
"0101";"2017";"0256";"6";"Halden/Remmen";"ITBINF";"3"
"0101";"2017";"0256";"6";"Halden/Remmen";"ITDM";"3"
"0101";"2017";"0256";"6";"Halden/Remmen";"MEN";"3"
"0101";"2017";"0256";"6";"Halden/Remmen";"MST";"3"
"0101";"2017";"0256";"6";"Halden/Remmen";"MUS";"3"
"0101";"2017";"0256";"6";"Halden/Remmen";"RLE";"3"
"0101";"2017";"0256";"6";"Halden/Remmen";"S619O-KK";"3"
"0101";"2017";"0256";"6";"Halden/Remmen";"S859O-KK";"3"
"0101";"2017";"0256";"7";"Halden/Remmen";"ITBINF";"3"
"0101";"2017";"0256";"7";"Halden/Remmen";"S617O-KK";"3"
"0101";"2017";"0256";"7";"Halden/Remmen";"S620O-KK";"3"
"0101";"2017";"0256";"7";"Halden/Remmen";"S706K";"3"
"0101";"2017";"0256";"7";"Halden/Remmen";"S905A";"3"
"0101";"2017";"0256";"7";"Halden/Remmen";"S906A";"3"
"0101";"2017";"0256";"8";"Halden/Remmen";"HNORSKP";"3"
"0101";"2017";"0256";"8";"Halden/Remmen";"ITDM";"3"
"0101";"2017";"0256";"8";"Halden/Remmen";"ITMAI";"3"
"0101";"2017";"0256";"8";"Halden/Remmen";"KHV";"3"
"0101";"2017";"0256";"8";"Halden/Remmen";"MAGLU1-7";"3"
"0101";"2017";"0256";"8";"Halden/Remmen";"MUS";"3"
"0101";"2017";"0256";"9";"Halden/Remmen";"BOKAD";"3"
"0101";"2017";"0256";"9";"Halden/Remmen";"ITMACS";"3"
"0101";"2017";"0256";"9";"Halden/Remmen";"MNORSK";"3"
"0101";"2017";"0256";"9";"Halden/Remmen";"S927A";"3"
"0101";"2017";"0256";"10";"Halden/Remmen";"ITEKAA";"3"
"0101";"2017";"0256";"10";"Halden/Remmen";"S854O-KK";"3"
"0101";"2017";"0256";"10";"Halden/Remmen";"S859O-KK";"3"
"0101";"2017";"0256";"11";"Halden/Remmen";"SAM";"3"
"0101";"2017";"0256";"12";"Halden/Remmen";"BEDOK";"3"
"0101";"2017";"0256";"12";"Halden/Remmen";"ITBINF";"3"
"0101";"2017";"0256";"12";"Halden/Remmen";"S828O";"3"
"0101";"2017";"0256";"12";"Halden/Remmen";"S921A";"3"
"0101";"2017";"0256";"12";"Halden/Remmen";"SAM";"3"
"0101";"2017";"0256";"13";"Halden/Remmen";"MFRSPR-D";"3"
"0101";"2017";"0256";"13";"Halden/Remmen";"S618O-KK";"3"
"0101";"2017";"0256";"14";"Halden/Remmen";"IDR";"3"
"0101";"2017";"0256";"14";"Halden/Remmen";"ITBDM";"3"
"0101";"2017";"0256";"14";"Halden/Remmen";"PEDVEILM";"3"
"0101";"2017";"0256";"14";"Halden/Remmen";"S620O-KK";"3"
"0101";"2017";"0256";"14";"Halden/Remmen";"S906A";"3"
"0101";"2017";"0256";"14";"Halden/Remmen";"TYP";"3"
"0101";"2017";"0256";"15";"Halden/Remmen";"BOKAD";"3"
"0101";"2017";"0256";"15";"Halden/Remmen";"FRANSKP";"3"
"0101";"2017";"0256";"15";"Halden/Remmen";"GEN";"3"
