"Institusjonskode";"Institusjonsnavn";"Avdelingskode";"Avdelingsnavn";"Årstall";"Semester";"Semesternavn";"Studentkategori";"Kategoritekst";"Antall totalt";"Antall kvinner";"Antall menn"
"0217";"Samisk høgskole";"000000";"SH (uspesifisert underenhet)";"2019";"3";"Høst";"P";"Personer uten studierett";"6";"0";"0"
"0217";"Samisk høgskole";"000000";"SH (uspesifisert underenhet)";"2020";"1";"Vår";"S";"Studenter";"3";"0";"0"
"0217";"Samisk høgskole";"000000";"SH (uspesifisert underenhet)";"2019";"1";"Vår";"S";"Studenter";"0";"0";"0"
"0217";"Samisk høgskole";"000000";"SH (uspesifisert underenhet)";"2019";"3";"Høst";"S";"Studenter";"9";"0";"0"
"0217";"Samisk høgskole";"510000";"Institutt for samiske lærerutdanninger og urfolksjournalistikk";"2019";"3";"Høst";"S";"Studenter";"78";"66";"12"
"0217";"Samisk høgskole";"510000";"Institutt for samiske lærerutdanninger og urfolksjournalistikk";"2019";"1";"Vår";"S";"Studenter";"143";"122";"21"
"0217";"Samisk høgskole";"510000";"Institutt for samiske lærerutdanninger og urfolksjournalistikk";"2020";"1";"Vår";"S";"Studenter";"81";"73";"8"
"0217";"Samisk høgskole";"520000";"Institutt for språk, duodji, reindrift og samfunnsvitenskap";"2020";"1";"Vår";"S";"Studenter";"63";"49";"14"
"0217";"Samisk høgskole";"520000";"Institutt for språk, duodji, reindrift og samfunnsvitenskap";"2019";"1";"Vår";"S";"Studenter";"86";"69";"17"
"0217";"Samisk høgskole";"520000";"Institutt for språk, duodji, reindrift og samfunnsvitenskap";"2019";"3";"Høst";"S";"Studenter";"86";"68";"18"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"440000";"Avdeling for helse- og sosialfag";"2019";"1";"Vår";"S";"Studenter";"824";"678";"146"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"440000";"Avdeling for helse- og sosialfag";"2020";"1";"Vår";"S";"Studenter";"918";"740";"178"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"440000";"Avdeling for helse- og sosialfag";"2019";"3";"Høst";"S";"Studenter";"893";"711";"182"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"461000";"Avdeling for logistikk";"2019";"3";"Høst";"S";"Studenter";"759";"261";"498"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"461000";"Avdeling for logistikk";"2020";"1";"Vår";"S";"Studenter";"603";"220";"383"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"461000";"Avdeling for logistikk";"2019";"1";"Vår";"S";"Studenter";"509";"184";"325"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"462000";"Avdeling for økonomi og samfunnsvitenskap";"2019";"1";"Vår";"S";"Studenter";"731";"408";"323"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"462000";"Avdeling for økonomi og samfunnsvitenskap";"2020";"1";"Vår";"S";"Studenter";"754";"390";"364"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"462000";"Avdeling for økonomi og samfunnsvitenskap";"2020";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"462000";"Avdeling for økonomi og samfunnsvitenskap";"2019";"3";"Høst";"S";"Studenter";"837";"439";"398"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"475000";"Enhet for utadrettet virksomhet";"2019";"3";"Høst";"S";"Studenter";"12";"5";"7"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"475000";"Enhet for utadrettet virksomhet";"2019";"1";"Vår";"S";"Studenter";"13";"7";"6"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"475000";"Enhet for utadrettet virksomhet";"2020";"1";"Vår";"S";"Studenter";"5";"0";"0"
"0236";"Høgskulen i Volda";"000000";"HiVo (uspesifisert underenhet)";"2019";"1";"Vår";"S";"Studenter";"81";"55";"26"
"0236";"Høgskulen i Volda";"000000";"HiVo (uspesifisert underenhet)";"2020";"1";"Vår";"S";"Studenter";"84";"67";"17"
"0236";"Høgskulen i Volda";"000000";"HiVo (uspesifisert underenhet)";"2019";"3";"Høst";"S";"Studenter";"100";"79";"21"
"0236";"Høgskulen i Volda";"415000";"Avdeling for kulturfag";"2019";"3";"Høst";"S";"Studenter";"531";"297";"234"
"0236";"Høgskulen i Volda";"415000";"Avdeling for kulturfag";"2020";"1";"Vår";"S";"Studenter";"419";"235";"184"
"0236";"Høgskulen i Volda";"415000";"Avdeling for kulturfag";"2019";"1";"Vår";"S";"Studenter";"333";"157";"176"
"0236";"Høgskulen i Volda";"423000";"Avdeling for samfunnsfag og historie";"2019";"1";"Vår";"S";"Studenter";"1100";"793";"307"
"0236";"Høgskulen i Volda";"423000";"Avdeling for samfunnsfag og historie";"2020";"1";"Vår";"S";"Studenter";"1011";"717";"294"
"0236";"Høgskulen i Volda";"423000";"Avdeling for samfunnsfag og historie";"2019";"3";"Høst";"S";"Studenter";"1195";"835";"360"
"0236";"Høgskulen i Volda";"425000";"Avdeling for mediefag";"2019";"3";"Høst";"S";"Studenter";"619";"326";"293"
"0236";"Høgskulen i Volda";"425000";"Avdeling for mediefag";"2020";"1";"Vår";"S";"Studenter";"722";"428";"294"
"0236";"Høgskulen i Volda";"425000";"Avdeling for mediefag";"2019";"1";"Vår";"S";"Studenter";"574";"301";"273"
"0236";"Høgskulen i Volda";"426000";"Avdeling for humanistiske fag og lærarutdanning";"2019";"1";"Vår";"S";"Studenter";"1620";"1245";"375"
"0236";"Høgskulen i Volda";"426000";"Avdeling for humanistiske fag og lærarutdanning";"2020";"1";"Vår";"S";"Studenter";"1900";"1461";"439"
"0236";"Høgskulen i Volda";"426000";"Avdeling for humanistiske fag og lærarutdanning";"2019";"3";"Høst";"S";"Studenter";"2054";"1572";"482"
"0238";"Høgskulen på Vestlandet";"210000";"Fakultet for helse- og sosialvitskap";"2019";"3";"Høst";"S";"Studenter";"155";"141";"14"
"0238";"Høgskulen på Vestlandet";"210000";"Fakultet for helse- og sosialvitskap";"2020";"1";"Vår";"S";"Studenter";"89";"83";"6"
"0238";"Høgskulen på Vestlandet";"210000";"Fakultet for helse- og sosialvitskap";"2019";"1";"Vår";"S";"Studenter";"106";"99";"7"
"0238";"Høgskulen på Vestlandet";"210210";"Institutt for helse- og omsorgsvitskap";"2019";"1";"Vår";"S";"Studenter";"2596";"2278";"318"
"0238";"Høgskulen på Vestlandet";"210210";"Institutt for helse- og omsorgsvitskap";"2020";"1";"Vår";"S";"Studenter";"2642";"2312";"330"
"0238";"Høgskulen på Vestlandet";"210210";"Institutt for helse- og omsorgsvitskap";"2019";"3";"Høst";"S";"Studenter";"2817";"2468";"349"
"0238";"Høgskulen på Vestlandet";"210220";"Institutt for helse og funksjon";"2019";"3";"Høst";"S";"Studenter";"475";"340";"135"
"0238";"Høgskulen på Vestlandet";"210220";"Institutt for helse og funksjon";"2020";"1";"Vår";"S";"Studenter";"457";"333";"124"
"0238";"Høgskulen på Vestlandet";"210220";"Institutt for helse og funksjon";"2019";"1";"Vår";"S";"Studenter";"510";"376";"134"
