enhet;kode;navn;fylke;fylkesmann;orgnr_fylkesmann
3001 - Halden;3001;HALDEN;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3002 - MOSS;3002;MOSS;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3003 - SARPSBORG;3003;SARPSBORG;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3004 - FREDRIKSTAD;3004;FREDRIKSTAD;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3011 - HVALER;3011;HVALER;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3012 - AREMARK;3012;AREMARK;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3013 - MARKER;3013;MARKER;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3026 - AURSKOG-HØLAND;3026;AURSKOG-HØLAND;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3014 - INDRE ØSTFOLD;3014;INDRE ØSTFOLD;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3015 - SKIPTVET;3015;SKIPTVET;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3016 - RAKKESTAD;3016;RAKKESTAD;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3017 - RÅDE;3017;RÅDE;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3018 - VÅLER (VIKEN);3018;VÅLER (VIKEN);VIKEN;Fylkesmannen i Oslo og Viken;974760460
3019 - VESTBY;3019;VESTBY;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3020 - NORDRE FOLLO;3020;NORDRE FOLLO;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3021 - ÅS;3021;ÅS;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3022 - FROGN;3022;FROGN;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3023 - NESODDEN;3023;NESODDEN;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3024 - BÆRUM;3024;BÆRUM;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3025 - ASKER;3025;ASKER;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3030 - LILLESTRØM;3030;LILLESTRØM;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3027 - RÆLINGEN;3027;RÆLINGEN;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3028 - ENEBAKK;3028;ENEBAKK;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3029 - LØRENSKOG;3029;LØRENSKOG;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3031 - NITTEDAL;3031;NITTEDAL;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3032 - GJERDRUM;3032;GJERDRUM;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3033 - ULLENSAKER;3033;ULLENSAKER;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3034 - NES;3034;NES;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3035 - EIDSVOLL;3035;EIDSVOLL;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3036 - NANNESTAD;3036;NANNESTAD;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3037 - HURDAL;3037;HURDAL;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3053 - JEVNAKER;3053;JEVNAKER;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3054 - LUNNER;3054;LUNNER;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3005 - DRAMMEN;3005;DRAMMEN;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3006 - KONGSBERG;3006;KONGSBERG;VIKEN;Fylkesmannen i Oslo og Viken;974760460
3007 - RINGERIKE;3007;RINGERIKE;VIKEN;Fylkesmannen i Oslo og Viken;974760460
