"Kommunenummer campus";"Årstall";"Antall"
"0101";"2019";"39"
"0101";"2019";"50"
"0101";"2019";"63"
"0101";"2019";"92"
"0101";"2019";"100"
"0101";"2019";"84"
"0101";"2019";"91"
"0101";"2019";"80"
"0101";"2019";"144"
"0101";"2019";"90"
"0101";"2019";"110"
"0101";"2019";"48"
"0101";"2019";"91"
"0101";"2019";"28"
"0101";"2019";"75"
"0101";"2019";"112"
"0101";"2019";"85"
"0101";"2019";"90"
"0101";"2019";"171"
"0101";"2019";"126"
"0101";"2019";"44"
"0101";"2019";"46"
"0101";"2019";"168"
"0101";"2019";"100"
"0101";"2019";"208"
"0101";"2019";"27"
"0101";"2019";"140"
"0101";"2019";"145"
"0101";"2019";"30"
"0101";"2019";"31"
"0101";"2019";"64"
"0101";"2019";"99"
"0101";"2019";"70"
"0101";"2019";"36"
"0101";"2019";"111"
"0101";"2019";"39"
"0101";"2019";"126"
"0101";"2019";"129"
"0101";"2019";"44"
"0101";"2019";"184"
"0101";"2019";"141"
"0101";"2019";"48"
"0101";"2019";"147"
"0101";"2019";"100"
"0101";"2019";"51"
"0101";"2019";"106"
"0101";"2019";"108"
"0101";"2019";"110"
"0101";"2019";"57"
"0101";"2019";"118"
"0101";"2019";"63"
"0101";"2019";"64"
"0101";"2019";"65"
"0101";"2019";"66"
"0101";"2019";"72"
"0101";"2019";"219"
"0101";"2019";"76"
"0101";"2019";"79"
"0101";"2019";"160"
"0101";"2019";"81"
"0101";"2019";"164"
"0101";"2019";"83"
"0101";"2019";"92"
"0101";"2019";"93"
"0101";"2019";"104"
"0101";"2019";"106"
"0101";"2019";"107"
"0101";"2019";"109"
"0101";"2019";"110"
"0101";"2019";"112"
"0101";"2019";"121"
"0101";"2019";"124"
"0101";"2019";"126"
"0101";"2019";"127"
"0101";"2019";"137"
"0101";"2019";"138"
"0101";"2019";"140"
"0101";"2019";"145"
"0101";"2019";"162"
"0101";"2019";"178"
"0101";"2019";"179"
"0101";"2019";"229"
"0101";"2019";"258"
"0106";"2019";"27"
"0106";"2019";"26"
"0106";"2019";"27"
"0106";"2019";"32"
"0106";"2019";"30"
"0106";"2019";"54"
"0106";"2019";"28"
"0106";"2019";"56"
"0106";"2019";"54"
"0106";"2019";"30"
"0106";"2019";"22"
"0106";"2019";"36"
"0106";"2019";"42"
"0106";"2019";"15"
"0106";"2019";"32"
"0106";"2019";"34"
"0106";"2019";"54"
"0106";"2019";"57"
"0106";"2019";"60"
"0106";"2019";"42"
"0106";"2019";"69"
"0106";"2019";"25"
"0106";"2019";"78"
"0106";"2019";"54"
"0106";"2019";"28"
"0106";"2019";"58"
"0106";"2019";"60"
"0106";"2019";"93"
"0106";"2019";"33"
"0106";"2019";"68"
"0106";"2019";"35"
"0106";"2019";"37"
"0106";"2019";"152"
"0106";"2019";"39"
"0106";"2019";"40"
"0106";"2019";"41"
"0106";"2019";"43"
"0106";"2019";"45"
"0106";"2019";"53"
"0106";"2019";"58"
"0106";"2019";"118"
