"Kommunenummer campus";"Årstall";"Institusjonskode";"Antall";"Stednavn campus";"Studieprogramkode";"Semester"
"0101";"2019";"0256";"0";"Halden/Remmen";"HMA2";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"HN1";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"HN2";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"ITBDES";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"ITBINF";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"ITMACS-D";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"ITMAI";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"MEN";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"MMI";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"MST";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"PROFVEILM";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"RLE";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"S619O-KK";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"S620O-KK";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"S854O-KK";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"S864O";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"S870O-KK";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"UTVLU";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"DATY";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"HN2";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"HNORSKP";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"ITMACS-D";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"KHV";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"MBHGPED";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"MMI";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"S870O-KK";"3"
"0101";"2019";"0256";"0";"Halden/Remmen";"S874O-KK";"3"
"0101";"2019";"0256";"3";"Halden/Remmen";"FRANSKP";"3"
"0101";"2019";"0256";"6";"Halden/Remmen";"HMA1";"3"
"0101";"2019";"0256";"3";"Halden/Remmen";"HMA2";"3"
