"07459: Befolkning, etter region, kjønn, alder, statistikkvariabel og år"

"region";"kjønn";"alder";"Personer 2018";"Personer 2019";"Personer 2020"
"K-3001 Halden";"Menn";"0-9 år";1714;1640;1649
"K-3001 Halden";"Menn";"10-19 år";1926;1971;1976
"K-3001 Halden";"Menn";"20-29 år";2129;2127;2069
"K-3001 Halden";"Menn";"30-39 år";1807;1778;1819
"K-3001 Halden";"Menn";"40-49 år";2127;2129;2128
"K-3001 Halden";"Menn";"50-59 år";2151;2189;2213
"K-3001 Halden";"Menn";"60-69 år";1892;1904;1887
"K-3001 Halden";"Menn";"70-79 år";1295;1392;1466
"K-3001 Halden";"Menn";"80-89 år";496;500;513
"K-3001 Halden";"Menn";"90-99 år";82;88;86
"K-3001 Halden";"Menn";"100 år eller eldre";1;0;0
"K-3001 Halden";"Kvinner";"0-9 år";1617;1581;1549
"K-3001 Halden";"Kvinner";"10-19 år";1739;1763;1814
"K-3001 Halden";"Kvinner";"20-29 år";1887;1820;1790
"K-3001 Halden";"Kvinner";"30-39 år";1773;1824;1848
"K-3001 Halden";"Kvinner";"40-49 år";2108;2037;2036
"K-3001 Halden";"Kvinner";"50-59 år";2061;2129;2148
"K-3001 Halden";"Kvinner";"60-69 år";1843;1864;1898
"K-3001 Halden";"Kvinner";"70-79 år";1466;1525;1572
"K-3001 Halden";"Kvinner";"80-89 år";711;703;711
"K-3001 Halden";"Kvinner";"90-99 år";210;209;196
"K-3001 Halden";"Kvinner";"100 år eller eldre";2;4;5
"K-3002 Moss";"Menn";"0-9 år";2647;2625;2573
"K-3002 Moss";"Menn";"10-19 år";3120;3084;3091
"K-3002 Moss";"Menn";"20-29 år";2906;2872;2884
"K-3002 Moss";"Menn";"30-39 år";2863;2893;2945
"K-3002 Moss";"Menn";"40-49 år";3567;3506;3458
"K-3002 Moss";"Menn";"50-59 år";3474;3547;3611
"K-3002 Moss";"Menn";"60-69 år";2687;2699;2806
"K-3002 Moss";"Menn";"70-79 år";2000;2089;2159
"K-3002 Moss";"Menn";"80-89 år";799;820;832
"K-3002 Moss";"Menn";"90-99 år";112;118;123
"K-3002 Moss";"Menn";"100 år eller eldre";1;1;2
"K-3002 Moss";"Kvinner";"0-9 år";2574;2528;2448
"K-3002 Moss";"Kvinner";"10-19 år";2846;2818;2883
"K-3002 Moss";"Kvinner";"20-29 år";2569;2510;2487
"K-3002 Moss";"Kvinner";"30-39 år";2867;2870;2869
"K-3002 Moss";"Kvinner";"40-49 år";3587;3540;3503
"K-3002 Moss";"Kvinner";"50-59 år";3347;3516;3610
"K-3002 Moss";"Kvinner";"60-69 år";3004;2982;3016
"K-3002 Moss";"Kvinner";"70-79 år";2343;2467;2574
"K-3002 Moss";"Kvinner";"80-89 år";1082;1107;1133
"K-3002 Moss";"Kvinner";"90-99 år";276;275;259
"K-3002 Moss";"Kvinner";"100 år eller eldre";0;4;7
"K-3003 Sarpsborg";"Menn";"0-9 år";3312;3294;3216
"K-3003 Sarpsborg";"Menn";"10-19 år";3511;3557;3682
"K-3003 Sarpsborg";"Menn";"20-29 år";3445;3417;3484
"K-3003 Sarpsborg";"Menn";"30-39 år";3398;3507;3579
"K-3003 Sarpsborg";"Menn";"40-49 år";4056;3974;3914
"K-3003 Sarpsborg";"Menn";"50-59 år";3767;3865;3982
"K-3003 Sarpsborg";"Menn";"60-69 år";3064;3109;3143
"K-3003 Sarpsborg";"Menn";"70-79 år";2261;2340;2413
"K-3003 Sarpsborg";"Menn";"80-89 år";823;840;862
"K-3003 Sarpsborg";"Menn";"90-99 år";129;134;143
"K-3003 Sarpsborg";"Menn";"100 år eller eldre";0;0;1
"K-3003 Sarpsborg";"Kvinner";"0-9 år";3037;3009;2999
"K-3003 Sarpsborg";"Kvinner";"10-19 år";3358;3354;3404
"K-3003 Sarpsborg";"Kvinner";"20-29 år";3261;3261;3345
"K-3003 Sarpsborg";"Kvinner";"30-39 år";3392;3433;3500
"K-3003 Sarpsborg";"Kvinner";"40-49 år";3871;3891;3853
"K-3003 Sarpsborg";"Kvinner";"50-59 år";3576;3616;3673
"K-3003 Sarpsborg";"Kvinner";"60-69 år";3175;3174;3201
